codeType;txtName;codeLgt;txtDescrMarking;geoLat;geoLong;valElev;valElevAccuracy;valHgt;codeHgtAccuracy;uomDistVer;valRadius;valRadiusAccuracy;uomRadius;codeGroupId;txtGroupName;locGroupMemberId;locLinkedToGroupMemberId;codeLinkType;datetimeValidWef;datetimeValidTil;txtRmk;source;defaultHeightFlag;codeMarking
building;3S Kitzsteinhorn Liner;N;;47.258003;12.715853;0;0;150;0;M;0;0;M;9280;cableway;0;1;cable;;;;OEAMTC CIS DB;N;N
building;3S Kitzsteinhorn Liner;N;;47.220967;12.699297;0;0;150;0;M;0;0;M;9280;cableway;1;1;cable;;;;OEAMTC CIS DB;N;N
building;Achenkirch;N;;47.525248;11.697575;0;0;100;0;M;0;0;M;6597;cableway;0;1;cable;;;;OEAMTC CIS DB;N;N
building;Achenkirch;N;;47.525081;11.684608;0;0;100;0;M;0;0;M;6597;cableway;1;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.809406;12.390472;0;0;100;0;M;0;0;M;11475;cableway;0;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.807356;12.388661;0;0;100;0;M;0;0;M;11475;cableway;1;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.809669;12.389692;0;0;100;0;M;0;0;M;11475;cableway;2;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.807239;12.387944;0;0;100;0;M;0;0;M;11475;cableway;3;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.809817;12.388867;0;0;100;0;M;0;0;M;11475;cableway;4;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.807153;12.386789;0;0;100;0;M;0;0;M;11475;cableway;5;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.809908;12.388419;0;0;100;0;M;0;0;M;11475;cableway;6;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.807203;12.385206;0;0;100;0;M;0;0;M;11475;cableway;7;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.809953;12.388125;0;0;100;0;M;0;0;M;11475;cableway;8;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.809003;12.3855;0;0;100;0;M;0;0;M;11475;cableway;9;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.809128;12.385097;0;0;100;0;M;0;0;M;11475;cableway;10;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.808256;12.385281;0;0;100;0;M;0;0;M;11475;cableway;11;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.808956;12.383392;0;0;100;0;M;0;0;M;11475;cableway;12;1;cable;;;;OEAMTC CIS DB;N;N
building;Ahornberg;N;;46.807672;12.382197;0;0;100;0;M;0;0;M;11475;cableway;13;1;cable;;;;OEAMTC CIS DB;N;N
