codeType;txtName;codeLgt;txtDescrMarking;geoLat;geoLong;valElev;valElevAccuracy;valHgt;codeHgtAccuracy;uomDistVer;valRadius;valRadiusAccuracy;uomRadius;codeGroupId;txtGroupName;locGroupMemberId;locLinkedToGroupMemberId;codeLinkType;datetimeValidWef;datetimeValidTil;txtRmk;source;defaultHeightFlag;codeMarking
BUILDING; Altbach-Deizisau;Y;;48.7175;9.37055555555556;1629;0;823;0;FT;0;0;FT;0;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Aufhausen;Y;;48.5880555555556;9.7475;3045;0;477;0;FT;0;0;FT;1;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Bergalingen;Y;;47.6033333333333;7.94888888888889;3242;0;604;0;FT;0;0;FT;2;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Brandenkopf;N;;48.3383333333333;8.15361111111111;3445;0;391;0;FT;0;0;FT;3;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Braunenberg bei Aalen;N;;48.8608333333333;10.1372222222222;2825;0;460;0;FT;0;0;FT;4;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Ehingen;Y;;48.2669444444444;9.72611111111111;1972;0;351;0;FT;0;0;FT;5;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Ermingen;N;;48.3905555555556;9.89583333333333;2648;0;552;0;FT;0;0;FT;6;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Karlsruhe/Maxau;Y;;49.0405555555556;8.3125;824;0;480;0;FT;0;0;FT;7;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Freiburg i.Br.;N;;47.9955555555556;7.85222222222222;1293;0;381;0;FT;0;0;FT;8;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Glasenberg bei Heubach;N;;48.7861111111111;9.95388888888889;2897;0;532;0;FT;0;0;FT;9;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
BUILDING; Heilbronn;Y;;49.1766666666667;9.20694444444444;1323;0;822;0;FT;0;0;FT;10;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Illwangen;Y;;47.8219444444444;9.39916666666667;3288;0;565;0;FT;0;0;FT;11;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Karlsruhe;Y;;49.0541666666667;8.34277777777778;832;0;492;0;FT;0;0;FT;12;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
